iter	MultiClass
0	1.034470216
1	0.9663381347
2	0.9104220036
3	0.8583171708
4	0.8176823757
5	0.7772388524
6	0.7369231298
7	0.692910427
8	0.6627547147
9	0.6363291588
10	0.6037695117
11	0.5747581126
12	0.5514405642
13	0.5299063332
14	0.5123288414
15	0.4916470277
16	0.4717293284
17	0.4543981406
18	0.4374159873
19	0.4198499124
20	0.4032610241
21	0.3895964991
22	0.3773389873
23	0.3666743224
24	0.3554071636
25	0.3420863594
26	0.3298966853
27	0.3183808085
28	0.3086671351
29	0.2998365385
30	0.2909021025
31	0.2815280855
32	0.2735383956
33	0.2661356513
34	0.2581843781
35	0.2497444153
36	0.2445498197
37	0.2370530805
38	0.2308847133
39	0.2239743136
40	0.218315402
41	0.2131963714
42	0.2079406582
43	0.2031672052
44	0.1986868904
45	0.1937072228
46	0.1895051655
47	0.183302081
48	0.1792716082
49	0.175574939
50	0.1713162928
51	0.1676304589
52	0.1639501769
53	0.1597820629
54	0.1567848607
55	0.1527287979
56	0.149885491
57	0.1469403778
58	0.1441523587
59	0.1413669691
60	0.1386791178
61	0.1362057429
62	0.1339477062
63	0.1316374605
64	0.128807729
65	0.1257359223
66	0.1233765727
67	0.1211954232
68	0.1190046174
69	0.1166367849
70	0.1150471988
71	0.1122847507
72	0.1104864325
73	0.1085077787
74	0.1068641358
75	0.1052644579
76	0.1036775076
77	0.1014824408
78	0.09988490213
79	0.0987174995
80	0.09698676765
81	0.09551740306
82	0.09397817695
83	0.0927292199
84	0.09146328421
85	0.09009399406
86	0.08867346205
87	0.0872283798
88	0.08611070436
89	0.08497506335
90	0.0840574231
91	0.08280635724
92	0.08179587116
93	0.0807360085
94	0.07942953826
95	0.0785171285
96	0.0773190959
97	0.07639744593
98	0.07512735477
99	0.07393705891
100	0.07297277085
101	0.07218864748
102	0.07097019595
103	0.06981488828
104	0.06882530411
105	0.06768826558
106	0.06681871734
107	0.0659244318
108	0.06498100967
109	0.06426882779
110	0.06326584715
111	0.06220101298
112	0.06159092045
113	0.06087886712
114	0.06026005491
115	0.0595918671
116	0.05899182762
117	0.05806063423
118	0.05745591949
119	0.05682287737
120	0.05602571796
121	0.05532499857
122	0.05454500785
123	0.05391287169
124	0.05320504155
125	0.05257172914
126	0.05186456596
127	0.05135725922
128	0.05086205829
129	0.05031946353
130	0.0496922613
131	0.04917881483
132	0.04873874453
133	0.04816895984
134	0.04772682483
135	0.04738755889
136	0.04687786433
137	0.04648339279
138	0.04606695835
139	0.04550202883
140	0.04503213794
141	0.04472190283
142	0.04428223903
143	0.043729548
144	0.04330550295
145	0.04279435883
146	0.04230995954
147	0.04195156752
148	0.04156292579
149	0.04111268426
150	0.04082460862
151	0.04036928956
152	0.04004448891
153	0.03968037063
154	0.03939280452
155	0.03903209291
156	0.03869462063
157	0.03827132754
158	0.03798385435
159	0.03767669236
160	0.03736992027
161	0.0371084925
162	0.03676649136
163	0.03645980065
164	0.03615839859
165	0.03581067458
166	0.03551171998
167	0.03520160721
168	0.03479454702
169	0.03449437111
170	0.03417870149
171	0.03390835229
172	0.03365496038
173	0.03345406005
174	0.03317870031
175	0.03298548139
176	0.03271659867
177	0.03248715814
178	0.03226529449
179	0.03199088733
180	0.03179233521
181	0.031608968
182	0.03133150204
183	0.03108280449
184	0.03090817769
185	0.03073510866
186	0.0304868655
187	0.0302923157
188	0.03006061978
189	0.02984472759
190	0.02963747739
191	0.02935931303
192	0.0291738663
193	0.0289525771
194	0.02868647171
195	0.02847552142
196	0.02824242964
197	0.02809995429
198	0.02791935149
199	0.02767387608
200	0.02750922013
201	0.02726250544
202	0.02703940212
203	0.02685499317
204	0.02668058495
205	0.02650511174
206	0.02634937448
207	0.02608819321
208	0.02589859359
209	0.02574373765
210	0.02559330409
211	0.02539761495
212	0.0252776395
213	0.02514614611
214	0.02500184975
215	0.02489575502
216	0.02475054315
217	0.02459805582
218	0.0244057552
219	0.0242870599
220	0.02416088466
221	0.02402214977
222	0.02390001619
223	0.02371208916
224	0.02362614368
225	0.02346158649
226	0.02326934506
227	0.0231373174
228	0.02300667367
229	0.0228876715
230	0.02274621447
231	0.0226308593
232	0.02252011493
233	0.0224118679
234	0.02233079015
235	0.0221799003
236	0.02205834236
237	0.02194737868
238	0.0218433414
239	0.02173809693
240	0.02162319245
241	0.02154078736
242	0.02139496971
243	0.02130657903
244	0.02120502266
245	0.02107523743
246	0.02097291459
247	0.02088453725
248	0.02081777078
249	0.02070128263
250	0.02062239122
251	0.02052844604
252	0.02040514069
253	0.02029082975
254	0.02018855051
255	0.02007407092
256	0.01997520332
257	0.01984872027
258	0.01976026211
259	0.01966484771
260	0.01956017208
261	0.01943851967
262	0.0193169845
263	0.01921094585
264	0.01911921733
265	0.01903494962
266	0.01892632539
267	0.01880515734
268	0.01874838882
269	0.0186754238
270	0.01859257626
271	0.01850759205
272	0.01844031733
273	0.01836656959
274	0.01826031508
275	0.01816350423
276	0.01807290952
277	0.01800611022
278	0.01791475614
279	0.01782504577
280	0.01775186215
281	0.01765320772
282	0.01755524891
283	0.01743310561
284	0.01735539841
285	0.0172385215
286	0.01716608521
287	0.01708780172
288	0.0170191316
289	0.016950004
290	0.01690265496
291	0.01683419015
292	0.01678512643
293	0.01670472836
294	0.01664547237
295	0.0165849823
296	0.01651841844
297	0.01645393947
298	0.01637946926
299	0.01632221989
300	0.01626880215
301	0.01622816506
302	0.0161618029
303	0.01610979916
304	0.01604662416
305	0.01597121563
306	0.01590726081
307	0.01585453661
308	0.01579251958
309	0.01574310873
310	0.01568977215
311	0.01562278303
312	0.01554162879
313	0.0154776848
314	0.01541638253
315	0.01537034448
316	0.01532966951
317	0.01528562965
318	0.01522666283
319	0.01516306396
320	0.01511001958
321	0.01502968111
322	0.01497953813
323	0.01491564198
324	0.01485820687
325	0.01481189928
326	0.01474526537
327	0.01468481553
328	0.01463372105
329	0.01457506528
330	0.01452697923
331	0.01448240434
332	0.01443387357
333	0.01439206062
334	0.01433843709
335	0.01430222083
336	0.01426187622
337	0.01420591248
338	0.01415566111
339	0.01411554305
340	0.01406891755
341	0.01402409187
342	0.01398458988
343	0.01394872643
344	0.01389166738
345	0.01384246103
346	0.01379185986
347	0.0137181308
348	0.01367825695
349	0.01363578015
350	0.01358544012
351	0.01354563355
352	0.01349352347
353	0.01345590636
354	0.01340962579
355	0.01336563185
356	0.01332883423
357	0.01328353333
358	0.0132440811
359	0.01318052818
360	0.01312844248
361	0.01307972003
362	0.0130353169
363	0.01299387687
364	0.01295502418
365	0.0129108363
366	0.01287002553
367	0.01283745272
368	0.01278174604
369	0.01274748759
370	0.01269251687
371	0.01264129563
372	0.01260451493
373	0.01257200552
374	0.0125464607
375	0.01250006751
376	0.01245948102
377	0.0124214626
378	0.01236238503
379	0.01231739549
380	0.01228499665
381	0.01225165477
382	0.01220599217
383	0.01217244904
384	0.01212750827
385	0.01209117442
386	0.01206116116
387	0.01203245215
388	0.01199682942
389	0.0119722004
390	0.01194650842
391	0.0119086663
392	0.01187448996
393	0.0118352988
394	0.01179594996
395	0.01176558841
396	0.01174118495
397	0.01169893273
398	0.01165582207
399	0.01163222001
400	0.01159301916
401	0.01156085175
402	0.0115312609
403	0.01149318861
404	0.01145546717
405	0.01142843931
406	0.01139333185
407	0.01135396311
408	0.01132102605
409	0.01129469704
410	0.01126730564
411	0.01123733143
412	0.01121198792
413	0.01118295586
414	0.01113722819
415	0.01109427874
416	0.01106357566
417	0.01102747925
418	0.01099551457
419	0.010962251
420	0.01092881884
421	0.0108968357
422	0.01087130335
423	0.0108375373
424	0.01081656848
425	0.01078362787
426	0.01075795746
427	0.01072924448
