연도,행정구역,연앙인구수(천명),재정자립도(%),통계방식변경,제조업종사자수,상용월평균급여(원),문화예술활동(건),대학수(천명당),문화기반시설수(십만명당),전체산업종사자수(천명당),기업규모구조,지역내총생산(십억원)
2016,강원특별자치도,1536.275,22.4,0.0,57365.0,3023906.0,1444.0,0.012367577419407331,13.73452018681551,388.4135327333973,351.3059883360427,44677.444
2016,경기도,12509.4835,61.61,0.0,1276105.0,3328379.0,3925.0,0.0062352694257920395,4.028943321281011,383.91585072237393,2230.077237991217,433443.961
2016,경상남도,3348.2515,36.61,0.0,433488.0,3257296.0,1689.0,0.007167920330954828,5.7642025994761745,411.8690008800116,652.8823471187586,113497.638
2016,경상북도,2683.4775,26.1,0.0,328962.0,3326347.0,1035.0,0.014533380659983174,7.2666903299915875,404.9365049641743,549.557763431796,112216.094
2016,광주광역시,1461.531,46.68,0.0,85157.0,2994355.0,1284.0,0.012315852349351468,3.900019910627965,400.5977293673552,289.6821212223691,39427.386
2016,대구광역시,2466.465,50.59,0.0,179927.0,2757051.0,2165.0,0.005270701185705047,2.9597014350497575,376.6840397086518,545.0668952122427,57550.511
2016,대전광역시,1505.374,50.33,0.0,61352.0,3320492.0,998.0,0.013285734973501601,3.786434467447956,396.58649611325825,285.5064433854653,40347.343
2016,부산광역시,3467.418,50.91,0.0,224025.0,2963654.0,2590.0,0.006921576804411813,2.797470625116441,406.2432045977727,697.9907523148626,92379.867
2016,서울특별시,9811.0385,80.66,0.0,278773.0,3833370.0,12350.0,0.009071414815057549,3.7202993342651745,517.7281691433583,1584.144052576942,407074.525
2016,세종특별자치시,225.992,44.19,0.0,18677.0,3378458.9,119.0,0.013274806187829658,5.752416014726185,401.2177422209636,29.542561937533083,10962.552
2016,울산광역시,1166.3145,62.33,0.0,180111.0,4289094.0,705.0,0.0051444100197673955,3.4296066798449307,448.7160195641913,184.85633760203615,75839.539
2016,인천광역시,2905.5515,62.51,0.0,248950.0,3148933.0,1003.0,0.0034416874042673138,3.3040199080966213,345.8025094375371,553.9751585712622,86826.282
2016,전라남도,1893.147,19.27,0.0,115015.0,3463847.0,1037.0,0.010036198985076173,10.089021084997626,366.753875953637,408.2110914594012,76379.384
2016,전북특별자치도,1854.7715,23.6,0.0,118968.0,3098814.0,1478.0,0.011861299356821042,8.410739543927647,364.4346486885312,404.74197645807413,50102.714
2016,제주특별자치도,628.019,31.52,0.0,11634.0,2564480.0,855.0,0.006369234051836012,19.903856411987537,411.114950343859,140.57138995228286,20020.1
2016,충청남도,2072.713,33.53,0.0,284596.0,3523261.0,951.0,0.012061486563745196,7.622859508286964,424.5551603140425,380.6525396616518,110329.172
2016,충청북도,1577.149,28.76,0.0,194233.0,3184410.0,688.0,0.010778943524042434,7.9890993178196865,423.11347881525467,295.0366893286958,63793.617
2017,강원특별자치도,1536.689,24.06,0.0,58955.0,3106416.0,1567.0,0.012364245465412975,14.186344797158046,401.0245404242498,349.2504469971603,47451.175
2017,경기도,12681.3475,61.33,0.0,1300516.0,3433070.0,4025.0,0.006229621891522175,4.147824196127423,390.6359320253625,2248.321078520183,474938.853
2017,경상남도,3356.33,38.65,0.0,423853.0,3320841.0,1849.0,0.007150667544609738,5.869506276200493,410.78856965792994,668.2026236235641,113483.841
2017,경상북도,2678.112,26.21,0.0,324059.0,3406713.0,1163.0,0.014562497759615729,7.39326809334337,409.38093701831735,552.246036775973,115044.741
2017,광주광역시,1457.271,44.76,0.0,86364.0,3101641.0,1429.0,0.012351854939815587,4.185906396270838,412.37216687905,287.14110580292805,41047.259
2017,대구광역시,2460.3685,49.91,0.0,179147.0,2846290.0,2179.0,0.005283761355260401,3.0076795406866896,383.34501518776557,546.1816163109514,59404.957
2017,대전광역시,1497.29,50.88,0.0,61370.0,3406810.0,1227.0,0.013357465821584329,3.6733031009356902,404.5589030849067,285.30579631262157,41679.606
2017,부산광역시,3445.833,52.87,0.0,219037.0,3064665.0,2745.0,0.0069649341683128575,2.9891175805676014,413.34475582536936,693.297776157274,93177.783
2017,서울특별시,9724.4005,80.49,0.0,277920.0,3942278.0,13217.0,0.0090494010401978,3.969396365359489,526.5016594082073,1562.8877616927277,427092.668
2017,세종특별자치시,260.542,57.98,0.0,19107.0,3448580.8,120.0,0.01151445832149903,5.373413883366214,383.1512769534279,35.67259414787582,11938.796
2017,울산광역시,1162.347,60.23,0.0,177427.0,4241425.0,796.0,0.005161969704399805,3.5273459646732,448.64571423163653,186.94483718325847,77390.966
2017,인천광역시,2916.646,60.53,0.0,250329.0,3231748.0,1590.0,0.00342859572262112,3.4628816798473316,354.634741411882,554.6692893563458,91217.759
2017,전라남도,1887.213,20.01,0.0,114092.0,3549854.0,1138.0,0.010067755997865637,10.597637892490143,375.14154470110157,408.59244241297677,78232.007
2017,전북특별자치도,1847.4605,22.28,0.0,117665.0,3195239.0,1583.0,0.011908238362877042,8.7146653473782,368.9594445997628,401.85717473864423,52196.096
2017,제주특별자치도,644.0565,33.68,0.0,11672.0,2649364.0,867.0,0.006210635247062952,19.563501028248297,407.95644481501233,147.22895241239672,21672.308
2017,충청남도,2092.354,34.34,0.0,284336.0,3594988.0,1026.0,0.011948264968547388,7.646889579870328,429.08322396688135,387.44698164389604,120242.248
2017,충청북도,1582.4435,30.05,0.0,198137.0,3304307.0,706.0,0.01074287960360038,8.088756407416756,430.89690090041125,292.9331813160867,69598.516
2018,강원특별자치도,1533.013,23.51,0.0,59477.0,3207049.0,1800.0,0.012393893593857326,14.024669066733289,417.00690078949106,344.0590544865527,49092.745
2018,경기도,12861.428,61.94,0.0,1317605.0,3550712.0,4639.0,0.0062201491156347495,4.175275093869826,402.31644573215357,2259.495006090797,502061.943
2018,경상남도,3356.947,37.71,0.0,409762.0,3396737.0,1948.0,0.007149353266524613,6.166317192377478,413.5608932759439,681.120977780771,114922.033
2018,경상북도,2666.723,26.15,0.0,320706.0,3520898.0,1259.0,0.014249698975109151,7.5373407736761555,419.1593952577752,553.5602986002638,115378.926
2018,광주광역시,1452.4715,43.76,0.0,86109.0,3177872.0,1524.0,0.012392670011081111,4.337434503878389,424.28715468771674,281.92463212335605,42560.85
2018,대구광역시,2449.5285,47.57,0.0,176508.0,2962738.0,2222.0,0.005307143803389101,3.265934648239447,394.8539484231353,533.2275410713953,60778.388
2018,대전광역시,1485.382,47.05,0.0,61879.0,3519385.0,1284.0,0.013464549859901358,3.702751211472873,416.2370353215536,282.4280158280107,42410.316
2018,부산광역시,3418.0685,52.35,0.0,216091.0,3221296.0,2812.0,0.007021509369984832,3.1304229274515714,421.90933271231984,684.6494675597993,96494.588
2018,서울특별시,9642.857,79.17,0.0,266500.0,4065263.0,14093.0,0.00912592606112483,4.137777839078191,540.3933709687907,1523.6770919744552,451385.832
2018,세종특별자치시,296.0505,57.09,0.0,20248.0,3535614.5,147.0,0.013511208391811531,6.417823986110478,390.423255491884,40.65075473028507,12433.506
2018,울산광역시,1154.1815,59.92,0.0,175990.0,4312634.0,811.0,0.005198489145771268,3.7255838878027423,456.67427523314143,187.57789664475368,75961.335
