연도,행정구역,연앙인구수(명),연앙인구수(천명),지역내총생산,재정자립도(%),통계방식변경,전체산업사업체수,전체산업종사자수,제조업종사자수,상용월평균급여(원),학교수,문화기반시설수,문화예술활동(건),19세,20~24세,25~29세,30~34세,35~39세
2016,제주특별자치도,628019.0,628.019,20020100.0,31.52,0.0,57791.0,258188.0,11634.0,2564480.0,4.0,125.0,855.0,6899.0,36593.0,30793.0,37191.0,45511.0
2016,충청남도,2072713.0,2072.713,110329172.0,33.53,0.0,161608.0,879981.0,284596.0,3523261.0,25.0,158.0,951.0,30929.0,139392.0,114044.0,134323.0,152285.0
2016,충청북도,1577149.0,1577.149,63793617.0,28.76,0.0,124834.0,667313.0,194233.0,3184410.0,17.0,126.0,688.0,24297.0,113189.0,88270.0,98108.0,108415.0
2017,강원특별자치도,1536689.0,1536.689,47451175.0,24.06,0.0,140058.0,616250.0,58955.0,3106416.0,19.0,218.0,1567.0,20308.0,103149.0,81027.0,76594.0,96458.0
2017,경기도,12681347.5,12681.3475,474938853.0,61.33,0.0,878275.0,4953790.0,1300516.0,3433070.0,79.0,526.0,4025.0,150706.0,810977.0,796839.0,824632.0,1041924.0
2017,경상남도,3356330.0,3356.33,113483841.0,38.65,0.0,274490.0,1378742.0,423853.0,3320841.0,24.0,197.0,1849.0,34740.0,191438.0,171338.0,192691.0,252281.0
2017,경상북도,2678112.0,2678.112,115044741.0,26.21,0.0,226079.0,1096368.0,324059.0,3406713.0,39.0,198.0,1163.0,32513.0,161828.0,134837.0,143193.0,176668.0
2017,광주광역시,1457271.0,1457.271,41047259.0,44.76,0.0,118409.0,600938.0,86364.0,3101641.0,18.0,61.0,1429.0,22350.0,114650.0,91856.0,91459.0,115375.0
2017,대구광역시,2460368.5,2460.3685,59404957.0,49.91,0.0,209376.0,943170.0,179147.0,2846290.0,13.0,74.0,2179.0,31252.0,170185.0,148739.0,140523.0,176914.0
2017,대전광역시,1497290.0,1497.29,41679606.0,50.88,0.0,115423.0,605742.0,61370.0,3406810.0,20.0,55.0,1227.0,25482.0,124742.0,104070.0,97389.0,115339.0
2017,부산광역시,3445833.0,3445.833,93177783.0,52.87,0.0,286571.0,1424317.0,219037.0,3064665.0,24.0,103.0,2745.0,43258.0,231153.0,209493.0,200554.0,249880.0
2017,서울특별시,9724400.5,9724.4005,427092668.0,80.49,0.0,822863.0,5119913.0,277920.0,3942278.0,88.0,386.0,13217.0,112538.0,661569.0,735323.0,727683.0,777632.0
2017,세종특별자치시,260542.0,260.542,11938796.0,57.98,0.0,13668.0,99827.0,19107.0,3448580.8,3.0,14.0,120.0,3772.0,17536.0,15724.0,20674.0,28716.0
