연도,행정구역,연앙인구수(천명),재정자립도(%),통계방식변경,제조업종사자수,상용월평균급여(원),문화예술활동(건),대학수(천명당),문화기반시설수(십만명당),전체산업종사자수(천명당),기업규모구조,지역내총생산(십억원),청년_19_29_증감률(%),청년_30_39_증감률(%)
2016,강원특별자치도,1536.275,22.4,0.0,57365.0,3023906.0,1444.0,0.0123675774194073,13.73452018681551,388.4135327333973,351.3059883360427,44677.444,1.14964580873671,-2.0706267977055326
2016,경기도,12509.4835,61.61,0.0,1276105.0,3328379.0,3925.0,0.006235269425792,4.028943321281011,383.91585072237393,2230.077237991217,433443.961,1.8201529459906052,-0.773009981375472
2016,경상남도,3348.2515,36.61,0.0,433488.0,3257296.0,1689.0,0.0071679203309548,5.764202599476175,411.8690008800116,652.8823471187586,113497.638,-0.05454626968273146,-2.1082717892029312
2016,경상북도,2683.4775,26.1,0.0,328962.0,3326347.0,1035.0,0.0145333806599831,7.2666903299915875,404.9365049641743,549.557763431796,112216.094,-0.10580144595309093,-2.177145916364287
2016,광주광역시,1461.531,46.68,0.0,85157.0,2994355.0,1284.0,0.0123158523493514,3.900019910627965,400.5977293673552,289.6821212223691,39427.386,-0.3903968522332546,-3.4921361834336806
2016,대구광역시,2466.465,50.59,0.0,179927.0,2757051.0,2165.0,0.005270701185705,2.959701435049757,376.6840397086518,545.0668952122427,57550.511,-0.38025295334522813,-2.570358601906486
2016,대전광역시,1505.374,50.33,0.0,61352.0,3320492.0,998.0,0.0132857349735016,3.786434467447956,396.5864961132583,285.5064433854653,40347.343,0.6400177870948376,-2.415546918378675
2016,부산광역시,3467.418,50.91,0.0,224025.0,2963654.0,2590.0,0.0069215768044118,2.797470625116441,406.2432045977727,697.9907523148626,92379.867,-1.1530825591700045,-1.8270509977827087
2016,서울특별시,9811.0385,80.66,0.0,278773.0,3833370.0,12350.0,0.0090714148150575,3.7202993342651753,517.7281691433583,1584.144052576942,407074.525,-0.9006740629999732,-2.8630400361909114
2016,세종특별자치시,225.992,44.19,0.0,18677.0,3378458.9,119.0,0.0132748061878296,5.752416014726185,401.2177422209636,29.542561937533083,10962.552,20.69123611356023,20.091651943462896
2016,울산광역시,1166.3145,62.33,0.0,180111.0,4289094.0,705.0,0.0051444100197673,3.4296066798449307,448.7160195641913,184.85633760203612,75839.539,0.001247847463115015,-1.4749829114388824
2016,인천광역시,2905.5515,62.51,0.0,248950.0,3148933.0,1003.0,0.0034416874042673,3.3040199080966213,345.8025094375371,553.9751585712622,86826.282,0.5685854708833427,-1.0698182873835393
2016,전라남도,1893.147,19.27,0.0,115015.0,3463847.0,1037.0,0.0100361989850761,10.089021084997626,366.753875953637,408.2110914594012,76379.384,0.6761817357089361,-2.1103506532151983
2016,전북특별자치도,1854.7715,23.6,0.0,118968.0,3098814.0,1478.0,0.011861299356821,8.410739543927647,364.4346486885312,404.7419764580741,50102.714,0.41016368879458476,-2.7456108422419634
2016,제주특별자치도,628.019,31.52,0.0,11634.0,2564480.0,855.0,0.006369234051836,19.903856411987537,411.114950343859,140.57138995228286,20020.1,2.4818585657920167,0.9952739751120543
2016,충청남도,2072.713,33.53,0.0,284596.0,3523261.0,951.0,0.0120614865637451,7.622859508286964,424.5551603140425,380.6525396616518,110329.172,1.5763416585700352,-0.8424352086021769
2016,충청북도,1577.149,28.76,0.0,194233.0,3184410.0,688.0,0.0107789435240424,7.9890993178196865,423.11347881525467,295.0366893286958,63793.617,2.6387575471011893,-1.5436615958161926
2017,강원특별자치도,1536.689,24.06,0.0,58955.0,3106416.0,1567.0,0.0123642454654129,14.186344797158046,401.0245404242498,349.2504469971603,47451.175,-0.5510244775480677,-2.814718303531316
2017,경기도,12681.3475,61.33,0.0,1300516.0,3433070.0,4025.0,0.0062296218915221,4.147824196127423,390.6359320253625,2248.321078520183,474938.853,1.9809042638329277,-0.8923930224815968
2017,경상남도,3356.33,38.65,0.0,423853.0,3320841.0,1849.0,0.0071506675446097,5.869506276200493,410.78856965792994,668.2026236235641,113483.841,-0.9367640645442599,-2.241555445707699
