"ÃÑ·®ÁöÁ¡¸í","ÀÏÀÚ","¼ö¿Â(¡É)","¼ö¼ÒÀÌ¿Â³óµµ(ph)","Àü±âÀüµµµµ(¥ìS/§¯)","¿ëÁ¸»ê¼Ò(§·/L)","BOD(§·/L)","COD(§·/L)","ºÎÀ¯¹°Áú(§·/L)","ÃÑÁú¼Ò(T-N)(§·/L)","ÃÑÀÎ(T-P)(§·/L)","ÃÑÀ¯±âÅº¼Ò(TOC)(§·/L)","À¯·®(§©/s)"
"³«º»L","2023.02.21","5.7","8.2","485","14.2","2.3","5.4","5.6","2.983","0.037","3.5","19.940"
"³«º»M","2023.02.23","7.0","8.1","696","13.1","1.4","4.8","3.6","2.739","0.038","3.2","46.570"
"³«º»N","2023.02.23","8.0","8.6","673","14.2","5.3","8.8","17.4","2.806","0.082","6.3","11.701"
"³«º»L","2023.03.06","9.1","8.1","478","13.8","2.7","5.5","5.2","3.203","0.028","4.4","23.700"
"³«º»M","2023.03.08","9.7","8.0","776","12.5","0.9","4.7","2.8","3.213","0.031","3.5","51.710"
"³«º»N","2023.03.08","11.9","8.2","654","11.6","5.0","7.9","14.4","3.251","0.078","5.8","18.727"
"³«º»L","2023.03.14","11.2","8.0","467","11.7","1.9","4.8","2.8","3.276","0.023","3.3","24.270"
"³«º»M","2023.03.16","10.4","7.8","788","11.4","1.0","4.9","5.2","2.857","0.028","3.2","44.830"
"³«º»N","2023.03.16","12.7","7.8","1067","10.2","3.4","6.9","10.4","3.696","0.050","4.6","0.000"
"³«º»L","2023.03.20","12.2","7.7","468","11.1","3.0","5.0","4.0","3.122","0.030","3.8","10.430"
"³«º»M","2023.03.22","13.4","7.9","791","11.0","1.2","4.9","2.8","2.925","0.030","3.1","38.840"
"³«º»N","2023.03.22","15.0","7.7","699","9.5","3.0","6.5","18.0","3.198","0.045","3.8","15.266"
"³«º»L","2023.03.28","13.8","7.8","427","10.5","1.4","4.5","2.4","2.870","0.022","3.2","93.260"
"³«º»M","2023.03.30","14.0","7.9","775","10.9","1.0","4.6","1.6","2.836","0.041","3.6","44.470"
"³«º»N","2023.03.30","15.3","7.7","891","9.9","1.7","6.0","10.0","2.648","0.069","4.3","0.000"
"³«º»L","2023.04.03","14.4","7.6","465","10.0","2.3","4.8","3.6","3.002","0.027","3.3","32.630"
"³«º»M","2023.04.05","14.6","7.6","727","9.6","1.0","4.6","6.8","2.881","0.057","3.3","129.660"
"³«º»N","2023.04.05","16.3","7.8","798","9.5","4.5","7.2","24.0","3.404","0.076","4.8","1.250"
"³«º»L","2023.04.11","15.1","7.6","425","9.6","1.5","5.0","4.4","2.916","0.039","3.2","79.180"
"³«º»M","2023.04.13","15.7","8.2","696","11.4","1.1","5.1","2.8","2.790","0.055","3.4","77.070"
"³«º»N","2023.04.13","16.0","7.9","728","9.7","2.1","6.3","17.2","2.807","0.096","4.8","0.000"
"³«º»L","2023.04.17","16.8","7.7","444","9.8","1.7","4.5","3.2","3.139","0.038","3.4","31.280"
"³«º»M","2023.04.19","16.1","7.8","568","9.9","2.4","6.0","13.6","2.790","0.054","3.8","99.810"
"³«º»N","2023.04.19","16.8","7.6","759","9.2","4.4","7.0","16.8","3.554","0.065","5.0","23.032"
"³«º»L","2023.04.25","15.3","7.9","460","8.4","2.5","5.4","5.6","3.396","0.045","4.0","17.510"
"³«º»M","2023.04.27","17.2","7.9","695","9.1","1.1","4.8","2.8","2.746","0.044","3.4","72.890"
"³«º»N","2023.04.27","17.1","7.9","712","9.3","3.7","6.6","13.2","3.082","0.073","4.7","0.000"
"³«º»L","2023.05.09","17.2","7.1","264","8.2","1.9","6.3","14.8","3.649","0.114","5.1","488.680"
"³«º»M","2023.05.11","18.7","7.3","270","9.3","1.2","6.8","10.4","3.611","0.079","5.0","249.170"
"³«º»N","2023.05.11","19.8","7.3","414","8.4","1.9","5.9","20.4","3.464","0.075","4.5","0.000"
"³«º»L","2023.05.15","20.6","7.4","324","9.5","2.6","6.4","2.4","3.800","0.053","4.6","143.000"
"³«º»M","2023.05.17","20.1","7.4","310","9.6","1.7","5.9","5.6","3.386","0.040","4.5","100.620"
"³«º»N","2023.05.17","22.8","8.3","622","10.7","2.2","6.4","9.2","3.317","0.031","5.0","5.833"
"³«º»L","2023.05.23","21.6","8.5","316","11.8","3.6","5.9","5.6","3.588","0.035","4.3","70.170"
"³«º»M","2023.05.25","22.1","8.4","409","10.4","1.6","6.0","6.0","3.310","0.029","4.5","77.130"
"³«º»N","2023.05.25","23.0","7.6","668","8.2","2.0","6.9","14.0","2.876","0.069","5.4","0.000"
"³«º»L","2023.06.05","23.4","8.1","324","8.4","2.8","6.1","3.2","2.517","0.069","4.3","259.800"
"³«º»M","2023.06.08","23.9","7.6","372","8.2","1.8","5.9","6.4","2.734","0.062","4.7","159.040"
"³«º»N","2023.06.08","24.5","8.3","639","9.9","4.3","8.5","10.4","2.525","0.079","6.1","0.000"
"³«º»L","2023.06.13","26.6","8.7","287","11.4","3.1","7.9","8.0","2.300","0.047","5.6","430.950"
"³«º»M","2023.06.15","25.6","8.5","341","9.5","1.8","6.4","6.8","2.174","0.044","4.3","280.090"
"³«º»N","2023.06.15","25.9","8.1","931","8.3","3.5","8.3","16.0","2.395","0.111","6.2","0.000"
"³«º»L","2023.06.19","26.8","8.5","246","9.5","2.8","7.3","6.0","2.036","0.032","4.7","145.370"
"³«º»M","2023.06.21","25.7","8.3","335","8.3","2.3","8.0","12.4","2.107","0.042","5.3","197.680"
"³«º»N","2023.06.21","26.0","8.5","1226","9.0","4.8","10.4","19.2","1.929","0.110","8.4","0.000"
"³«º»L","2023.06.27","26.4","7.5","297","7.1","2.9","7.4","17.2","2.234","0.036","4.7","1400.530"
"³«º»M","2023.06.29","27.0","7.6","291","7.2","2.2","6.8","8.4","2.058","0.047","4.4","1389.700"
"³«º»N","2023.06.29","25.3","7.4","629","6.8","3.1","7.9","18.8","1.734","0.105","5.6","0.000"
"³«º»L","2023.07.03","27.3","7.1","207","7.1","2.2","6.1","4.4","2.228","0.053","4.4","750.660"
"³«º»M","2023.07.05","26.8","7.1","225","7.1","1.4","6.0","6.4","2.017","0.061","4.4","1801.650"
"³«º»N","2023.07.05","27.7","8.0","539","8.6","3.4","8.0","14.0","1.871","0.053","6.5","5.903"
"³«º»L","2023.07.11","24.4","6.8","147","7.8","1.0","6.8","13.6","2.503","0.065","4.7","1222.650"
"³«º»M","2023.07.13","25.1","6.9","156","7.5","2.3","6.7","12.0","2.412","0.092","5.1","2377.530"
"³«º»N","2023.07.13","25.4","7.3","394","7.4","1.9","6.6","15.6","1.414","0.087","5.0","0.000"
"³«º»L","2023.07.26","25.7","7.0","138","7.4","1.1","6.4","13.6","2.175","0.091","4.7","1654.940"
"³«º»M","2023.07.28","28.7","7.2","145","8.1","1.7","6.7","10.8","2.014","0.092","5.0","710.320"
"³«º»N","2023.07.28","30.0","8.1","436","9.3","3.0","5.9","6.8","1.938","0.046","3.6","0.000"
"³«º»L","2023.08.16","26.8","6.8","124","7.0","1.4","6.4","14.8","2.121","0.092","4.4","441.900"
"³«º»M","2023.08.18","26.9","6.9","156","7.3","1.8","6.6","15.2","2.087","0.093","5.1","370.860"
"³«º»N","2023.08.18","27.9","8.1","505","8.8","3.2","7.2","19.2","1.782","0.046","4.7","0.000"
"³«º»L","2023.08.21","29.8","6.9","145","8.3","2.5","8.0","11.2","2.323","0.096","5.2","494.330"
"³«º»M","2023.08.23","29.7","7.0","154","7.6","1.4","6.9","8.4","2.187","0.077","4.5","383.040"
"³«º»N","2023.08.23","30.0","7.8","572","9.1","2.7","7.2","14.0","1.866","0.053","4.9","0.000"
"³«º»L","2023.08.29","27.8","6.5","166","6.7","1.3","5.4","9.2","2.199","0.078","3.7","872.190"
"³«º»M","2023.08.31","28.2","6.5","164","6.7","1.7","5.7","12.0","2.056","0.076","4.2","4962.290"
"³«º»N","2023.08.31","28.3","7.3","382","8.1","2.3","6.8","28.8","1.204","0.072","4.3","0.000"
"³«º»L","2023.09.04","25.5","6.5","124","7.4","0.8","6.8","12.4","2.076","0.110","4.7","955.390"
"³«º»M","2023.09.06","25.6","6.8","136","7.2","1.1","6.6","9.2","2.024","0.092","4.8","451.850"
"³«º»N","2023.09.06","26.7","7.5","451","8.3","2.5","6.7","20.4","1.473","0.056","4.7","0.000"
"³«º»L","2023.09.12","27.6","7.6","144","9.4","1.9","7.3","6.8","2.033","0.068","4.9","313.770"
"³«º»M","2023.09.14","26.3","6.9","172","8.1","1.5","6.9","7.6","2.173","0.074","5.0","618.350"
"³«º»N","2023.09.14","26.4","7.7","473","8.2","1.6","6.0","12.4","1.725","0.038","4.3","0.000"
"³«º»L","2023.09.18","24.9","6.7","157","7.2","0.9","6.6","25.6","2.582","0.114","3.6","1971.220"
"³«º»M","2023.09.20","25.2","6.8","170","7.1","0.9","6.4","17.6","2.527","0.121","3.6","862.770"
"³«º»N","2023.09.20","25.4","6.7","262","6.2","1.5","5.8","20.0","2.240","0.118","2.9","0.000"
"³«º»L","2023.10.11","21.2","8.2","185","10.8","2.0","7.4","16.0","2.146","0.036","5.8","218.030"
"³«º»M","2023.10.13","21.5","8.5","262","10.9","2.2","8.1","15.6","1.861","0.039","5.4","225.490"
"³«º»N","2023.10.13","19.9","7.5","923","8.6","2.0","6.6","19.2","2.454","0.087","3.7","0.000"
"³«º»L","2023.10.16","21.4","8.6","190","12.2","2.1","6.8","11.2","2.161","0.033","5.2","212.610"
"³«º»M","2023.10.18","21.1","8.7","310","11.9","1.9","7.5","14.4","1.764","0.036","5.9","114.160"
"³«º»N","2023.10.18","19.9","7.6","951","8.9","2.4","6.4","14.8","2.938","0.090","4.7","0.000"
"³«º»L","2023.10.24","19.1","8.6","186","11.7","1.7","6.9","9.2","1.980","0.040","4.2","109.870"
"³«º»M","2023.10.26","19.0","8.7","323","11.3","1.7","6.7","9.6","2.067","0.035","4.0","155.100"
"³«º»N","2023.10.26","17.2","7.2","1033","8.5","4.4","8.6","24.8","3.405","0.118","5.8","6.481"
"³«º»L","2023.11.06","18.8","8.2","203","10.4","1.4","5.4","6.0","2.035","0.033","4.0","364.510"
"³«º»M","2023.11.08","17.4","7.5","572","8.7","0.8","5.1","3.2","2.045","0.043","4.0","198.010"
"³«º»N","2023.11.08","16.2","7.5","755","8.3","2.0","6.7","10.0","3.183","0.065","4.7","0.000"
"³«º»L","2023.11.14","15.0","8.6","254","11.0","1.3","6.2","10.0","2.213","0.036","4.5","105.210"
"³«º»M","2023.11.16","14.0","8.3","416","10.7","1.1","5.6","6.4","2.109","0.023","3.6","92.900"
"³«º»N","2023.11.16","11.1","7.6","1115","10.4","1.2","5.6","12.4","2.383","0.044","3.5","29.572"
"³«º»L","2023.11.20","13.0","8.1","252","11.2","1.0","5.2","1.6","2.260","0.018","3.4","87.870"
"³«º»M","2023.11.22","12.8","8.0","398","10.9","0.7","5.1","4.0","2.219","0.023","3.7","103.500"
"³«º»N","2023.11.22","10.3","8.1","1494","12.4","1.9","6.1","9.6","2.775","0.043","4.4","0.000"
"³«º»L","2023.11.28","11.0","7.4","227","10.5","1.1","4.2","1.6","1.943","0.025","2.6","67.870"
"³«º»M","2023.11.30","9.9","7.5","450","10.8","0.6","4.6","0.3","2.225","0.041","3.1","102.420"
"³«º»N","2023.11.30","7.6","7.5","766","11.3","1.3","5.4","13.2","2.528","0.073","3.5","31.898"
"³«º»L","2023.12.04","9.4","7.6","287","11.2","0.7","4.8","0.8","2.239","0.025","3.2","80.560"
"³«º»M","2023.12.06","9.4","7.6","386","11.9","1.0","5.2","3.2","2.022","0.043","3.4","54.040"
"³«º»N","2023.12.06","7.1","7.7","754","13.3","1.6","5.5","8.8","2.642","0.061","3.9","0.000"
"³«º»L","2023.12.12","9.4","7.7","341","12.3","1.3","5.1","4.0","2.605","0.019","3.2","532.680"
"³«º»M","2023.12.14","10.2","7.4","398","11.4","1.5","4.9","3.6","2.017","0.034","2.8","209.640"
"³«º»N","2023.12.14","10.4","7.3","829","11.5","2.4","6.0","14.4","2.908","0.054","3.5","30.243"
"³«º»M","2024.01.15","5.9","7.9","287","13.0","2.2","5.8","5.2","2.888","0.066","3.5","124.807"
"³«º»N","2024.01.15","5.3","8.6","485","14.4","4.6","8.0","18.0","3.394","0.095","5.2","4.097"
"³«º»L","2024.01.17","5.4","8.5","256","14.7","2.9","5.8","7.2","2.911","0.065","3.7","115.510"
"³«º»L","2024.01.22","5.8","8.6","259","14.8","3.6","6.1","8.0","2.714","0.068","4.9","243.310"
"³«º»M","2024.01.22","5.9","8.0","365","12.7","2.2","5.8","8.4","2.525","0.065","4.7","177.128"
"³«º»N","2024.01.22","6.2","8.7","620","12.8","5.3","8.8","19.2","3.299","0.106","8.2","0.000"
"³«º»M","2024.02.13","7.2","8.5","358","13.5","3.2","6.4","8.8","3.396","0.048","4.3","176.322"
"³«º»N","2024.02.13","7.7","8.8","403","14.2","4.9","7.6","20.0","3.018","0.060","5.0","19.769"
"³«º»L","2024.02.14","7.3","8.4","269","15.1","2.8","6.3","8.8","3.366","0.046","3.7","156.950"
"³«º»M","2024.02.19","11.7","8.5","406","10.4","2.9","6.6","13.6","3.171","0.061","4.9","937.997"
"³«º»N","2024.02.19","14.2","8.2","505","8.4","4.0","7.2","40.0","3.534","0.093","5.9","0.000"
"³«º»L","2024.02.21","8.7","7.4","276","12.9","2.4","5.5","16.0","3.675","0.065","4.0","974.590"
"³«º»L","2024.02.26","7.5","7.4","240","13.6","1.8","4.9","8.0","3.102","0.051","2.6","494.790"
"³«º»M","2024.02.26","8.3","7.4","274","11.5","2.2","4.3","10.8","3.291","0.058","2.6","347.115"
"³«º»N","2024.02.26","7.7","7.5","366","12.2","3.2","6.0","18.8","3.520","0.071","3.6","40.509"
"³«º»M","2024.03.11","8.5","7.6","272","11.7","2.2","4.8","8.0","2.888","0.038","2.9","259.686"
"³«º»N","2024.03.11","9.1","8.3","352","12.6","4.1","7.1","19.6","3.233","0.060","4.2","26.111"
"³«º»L","2024.03.13","9.7","7.9","202","13.4","1.6","4.5","4.8","2.589","0.026","2.8","139.360"
"³«º»L","2024.03.18","10.5","7.8","218","13.0","1.5","4.8","5.6","2.708","0.030","3.3","180.050"
"³«º»M","2024.03.18","11.0","7.3","281","11.9","1.7","4.7","7.6","2.708","0.030","3.2","161.432"
"³«º»N","2024.03.18","12.5","8.0","433","11.9","3.8","7.4","16.8","3.214","0.053","5.2","0.000"
"³«º»M","2024.03.25","11.4","7.4","323","10.9","3.0","5.5","10.8","2.775","0.036","3.2","260.742"
"³«º»N","2024.03.25","12.5","7.4","751","9.8","2.9","6.2","12.4","4.008","0.057","3.8","33.576"
"³«º»L","2024.03.26","11.0","7.9","240","11.9","1.7","5.1","6.4","3.051","0.031","3.1","382.270"
"³«º»M","2024.04.01","13.6","8.2","266","11.6","2.4","5.7","7.2","2.857","0.036","4.1","372.176"
"³«º»N","2024.04.01","14.3","7.5","373","9.4","1.6","5.0","12.0","2.754","0.054","3.3","0.000"
"³«º»L","2024.04.03","12.9","7.6","219","12.2","2.9","6.1","10.0","3.253","0.046","4.3","946.270"
"³«º»L","2024.04.08","15.9","7.6","165","12.2","1.6","5.4","7.6","2.946","0.047","3.5","364.430"
"³«º»M","2024.04.08","15.5","7.7","228","11.4","1.7","5.2","6.0","3.008","0.043","3.5","416.637"
"³«º»N","2024.04.08","16.9","7.5","374","10.4","3.2","6.0","12.8","3.071","0.053","4.0","19.398"
"³«º»M","2024.04.15","16.7","8.3","228","11.3","2.7","5.6","8.0","2.462","0.045","2.9","406.090"
"³«º»N","2024.04.15","17.3","8.3","304","10.9","2.9","6.0","10.8","2.670","0.040","3.1","0.000"
"³«º»L","2024.04.16","17.5","8.3","191","11.9","1.9","5.3","4.4","2.419","0.035","3.4","358.810"
"³«º»M","2024.04.22","16.9","7.8","208","10.0","2.0","5.2","8.0","2.374","0.033","3.4","373.620"
"³«º»N","2024.04.22","17.7","7.5","583","8.7","1.6","6.2","12.8","3.272","0.039","4.0","0.000"
"³«º»L","2024.04.24","17.2","8.0","190","10.4","1.7","5.1","6.4","2.351","0.035","3.5","242.480"
"³«º»L","2024.05.13","19.6","7.4","158","9.6","1.0","4.9","8.8","2.044","0.022","2.7","471.270"
"³«º»M","2024.05.13","20.6","7.3","175","8.9","0.9","5.2","6.0","2.328","0.042","2.4","360.059"
"³«º»N","2024.05.13","20.9","7.2","400","8.6","1.2","5.3","13.6","3.061","0.048","3.1","0.000"
"³«º»M","2024.05.20","23.3","8.9","161","11.4","2.8","5.9","11.2","1.454","0.018","4.1","339.170"
"³«º»N","2024.05.20","23.9","8.4","584","10.0","3.5","6.5","8.0","2.680","0.029","4.6","8.877"
"³«º»L","2024.05.21","22.3","8.7","178","11.9","2.5","5.7","13.2","1.588","0.016","3.4","320.840"
"³«º»M","2024.05.27","23.0","8.5","327","9.7","1.4","4.9","5.2","1.628","0.024","3.1","185.328"
"³«º»N","2024.05.27","23.5","7.6","563","7.9","1.7","6.6","10.4","2.622","0.056","4.3","0.000"
"³«º»L","2024.05.29","23.8","7.8","232","9.3","1.3","5.0","5.6","2.164","0.021","3.1","203.990"
"³«º»M","2024.06.03","23.5","8.3","273","9.7","1.6","5.7","4.0","1.979","0.024","3.9","276.819"
"³«º»N","2024.06.03","23.5","8.7","808","11.5","3.6","9.2","10.0","2.425","0.037","8.1","0.000"
"³«º»L","2024.06.05","24.1","8.5","174","9.3","1.4","5.0","4.8","1.502","0.024","2.1","209.910"
"³«º»L","2024.06.10","25.1","7.9","234","8.0","1.5","5.2","4.0","1.750","0.029","3.7","317.930"
"³«º»M","2024.06.10","24.2","8.2","318","8.9","1.7","5.4","3.6","1.494","0.022","3.8","243.611"
"³«º»N","2024.06.10","24.0","8.1","692","9.4","4.6","10.0","10.8","2.258","0.044","7.1","5.970"
"³«º»M","2024.06.17","25.1","8.4","277","9.6","2.5","6.9","8.0","1.194","0.022","4.0","317.628"
"³«º»N","2024.06.17","26.3","8.6","860","10.6","6.7","12.7","14.4","2.028","0.043","9.5","0.000"
"³«º»L","2024.06.18","27.5","8.2","217","9.4","1.2","5.7","4.4","1.419","0.018","3.5","362.240"
"³«º»M","2024.06.24","25.9","7.8","315","8.8","1.7","5.7","5.2","1.446","0.032","3.8","200.841"
"³«º»N","2024.06.24","25.5","7.7","823","8.1","3.9","10.7","10.8","1.841","0.069","6.6","0.000"
"³«º»L","2024.06.26","26.6","7.5","234","7.2","1.8","6.0","6.0","1.640","0.047","3.7","344.500"
"³«º»L","2024.07.01","26.4","7.4","205","7.5","0.9","5.6","4.0","1.411","0.043","3.6","819.650"
"³«º»M","2024.07.01","26.5","7.8","315","8.4","1.7","6.5","10.0","1.342","0.033","4.2","899.932"
"³«º»N","2024.07.01","25.7","7.5","412","7.4","2.2","8.0","13.6","1.423","0.097","5.2","0.000"
"³«º»M","2024.07.08","26.9","7.4","224","8.0","2.3","6.1","9.6","1.821","0.083","3.5","1581.056"
"³«º»N","2024.07.08","26.7","7.4","365","7.9","2.5","6.6","12.8","2.093","0.072","3.9","5.008"
"³«º»L","2024.07.18","25.3","7.2","154","7.9","1.2","6.4","19.2","2.589","0.087","3.9","1523.280"
"³«º»L","2024.07.22","26.3","7.4","167","8.0","1.4","5.5","9.6","2.289","0.067","3.6","868.320"
"³«º»M","2024.07.22","26.7","7.4","177","8.6","1.6","6.0","14.0","2.341","0.065","4.7","855.787"
"³«º»N","2024.07.22","27.5","8.1","363","10.3","5.2","9.0","14.4","1.857","0.032","6.0","2.315"
"³«º»M","2024.08.19","30.8","8.8","383","8.2","2.1","7.1","10.8","1.198","0.031","4.6","236.879"
"³«º»N","2024.08.19","30.4","8.9","850","7.4","8.5","16.3","33.3","1.720","0.194","9.9","0.914"
"³«º»L","2024.08.20","30.6","8.9","198","7.6","1.7","6.8","9.2","1.381","0.040","4.8","295.260"
"³«º»M","2024.08.26","30.7","8.3","288","7.2","2.5","6.5","9.2","1.599","0.057","4.1","294.007"
"³«º»N","2024.08.26","30.8","8.9","897","9.9","3.6","12.5","22.0","1.090","0.060","8.2","0.000"
"³«º»L","2024.08.28","30.0","8.8","217","7.1","3.3","7.0","10.8","1.168","0.080","4.1","211.140"
"³«º»L","2024.09.02","30.8","8.8","209","8.4","3.2","6.4","13.6","1.222","0.030","3.5","251.380"
"³«º»M","2024.09.02","30.3","8.6","347","7.8","2.7","7.3","12.4","1.232","0.050","4.4","205.048"
"³«º»N","2024.09.02","29.3","8.7","1208","8.7","6.5","12.6","34.0","1.184","0.097","8.3","0.000"
"³«º»M","2024.09.09","29.3","8.8","297","8.4","3.8","10.0","14.4","1.199","0.039","4.2","259.482"
"³«º»N","2024.09.09","29.4","8.4","1333","8.2","5.7","13.5","20.4","1.411","0.088","7.8","0.000"
"³«º»L","2024.09.10","30.1","8.4","218","7.0","2.4","7.6","11.2","1.123","0.048","4.6","130.370"
"³«º»M","2024.09.23","25.4","7.3","266","7.2","2.1","7.3","19.6","2.375","0.110","4.7","2593.905"
"³«º»N","2024.09.23","22.9","7.1","195","7.2","1.8","7.0","33.6","2.591","0.161","4.4","34.942"
"³«º»L","2024.09.25","24.3","7.2","155","8.6","1.1","6.0","7.6","2.650","0.107","3.7","588.860"
"³«º»L","2024.10.07","22.3","7.4","160","8.3","1.4","6.4","6.0","2.636","0.076","4.0","123.410"
"³«º»M","2024.10.07","22.1","7.6","249","8.7","1.8","6.7","6.8","2.473","0.079","4.2","216.345"
"³«º»N","2024.10.07","19.4","9.1","3458","10.9","3.7","12.9","19.6","2.210","0.059","8.1","0.000"
"³«º»M","2024.10.14","22.7","8.4","222","10.1","1.8","7.0","10.4","2.466","0.044","4.1","228.702"
"³«º»N","2024.10.14","21.7","9.0","2694","12.4","4.5","9.3","20.4","3.085","0.048","5.8","68.854"
"³«º»L","2024.10.15","22.5","8.0","157","9.2","1.6","6.8","6.0","2.462","0.038","4.9","205.290"
"³«º»M","2024.10.21","20.7","7.7","282","8.8","2.0","6.4","10.0","2.329","0.058","4.2","282.718"
"³«º»N","2024.10.21","18.9","7.6","3064","9.0","2.4","8.8","13.2","1.945","0.056","5.3","66.250"
"³«º»L","2024.10.23","19.9","7.2","220","9.2","1.3","6.4","10.8","2.685","0.072","4.4","1009.720"
"³«º»L","2024.10.28","19.0","7.1","211","9.3","1.5","6.2","5.6","3.228","0.087","4.3","246.320"
"³«º»M","2024.10.28","19.9","7.5","322","9.0","1.8","6.2","9.2","2.580","0.054","4.4","174.939"
"³«º»N","2024.10.28","18.6","7.3","1323","9.3","2.5","6.3","14.8","2.284","0.054","4.2","7.303"
"³«º»M","2024.11.04","19.2","7.5","280","9.3","2.3","6.5","6.0","3.037","0.062","4.3","327.468"
"³«º»N","2024.11.04","18.1","7.2","1057","8.5","1.8","6.2","12.8","2.187","0.071","4.1","13.576"
"³«º»L","2024.11.05","17.7","7.5","204","10.2","1.6","6.0","10.8","2.495","0.030","3.5","357.010"
"³«º»M","2024.11.11","17.6","8.5","251","10.8","2.2","6.5","9.6","2.650","0.024","4.4","202.900"
"³«º»N","2024.11.11","15.8","7.8","1290","9.9","2.7","7.3","15.2","2.984","0.058","4.5","0.000"
"³«º»L","2024.11.13","17.1","8.1","214","11.1","1.2","5.2","6.0","2.548","0.021","3.4","225.800"
"³«º»L","2024.11.18","15.4","8.2","225","11.3","1.3","5.5","8.4","2.486","0.023","4.5","66.200"
"³«º»M","2024.11.18","15.5","8.4","297","10.2","1.1","5.5","6.0","2.156","0.025","3.9","87.821"
"³«º»N","2024.11.18","14.1","7.8","1151","9.6","2.0","7.7","26.8","2.726","0.065","5.3","76.817"
"³«º»M","2024.11.25","14.4","8.4","352","10.6","1.6","5.8","5.2","2.414","0.019","4.1","190.392"
"³«º»N","2024.11.25","12.2","8.0","1205","10.6","3.3","8.3","15.2","2.989","0.045","5.5","0.000"
"³«º»L","2024.11.26","13.8","8.2","216","11.4","1.3","5.0","3.6","2.205","0.026","3.1","121.300"
"³«º»M","2024.12.02","12.7","8.3","320","10.5","1.7","5.8","3.2","2.442","0.021","3.7","166.662"
"³«º»N","2024.12.02","10.8","7.8","673","10.3","1.6","6.0","11.6","3.381","0.043","4.3","0.000"
"³«º»L","2024.12.04","11.5","7.8","281","11.3","1.4","4.7","2.0","2.855","0.027","2.8","111.690"
"³«º»L","2024.12.09","9.6","8.0","307","11.8","1.4","4.7","2.4","2.706","0.021","3.6","109.270"
"³«º»M","2024.12.09","10.1","8.0","361","10.9","1.2","4.9","3.6","2.380","0.024","3.4","117.780"
"³«º»N","2024.12.09","7.4","7.8","635","11.6","2.4","6.2","9.6","3.239","0.041","4.8","0.000"
"³«º»L","2025.01.13","3.8","8.8","398","14.1","3.6","7.0","6.4","2.545","0.027","5.0","124.820"
"³«º»M","2025.01.13","4.0","8.8","540","13.8","3.0","6.3","6.4","2.338","0.025","4.7","156.283"
"³«º»N","2025.01.13","1.5","8.0","1258","14.0","3.6","8.5","7.6","3.966","0.042","5.5","25.116"
"³«º»L","2025.01.21","4.0","8.2","404","14.9","2.4","5.2","4.4","2.729","0.036","3.3","73.720"
"³«º»M","2025.01.21","4.9","8.9","481","15.4","3.3","6.9","7.6","2.449","0.033","4.6","71.637"
"³«º»N","2025.01.21","4.3","8.8","855","15.4","4.4","8.4","8.4","2.987","0.056","5.4","0.000"
"³«º»L","2025.02.03","4.3","7.6","417","14.6","1.9","4.3","2.4","2.718","0.028","2.7","169.480"
"³«º»M","2025.02.03","4.7","8.0","697","14.8","2.9","5.9","6.0","2.501","0.036","4.2","102.169"
"³«º»N","2025.02.03","5.3","8.5","856","14.5","4.9","8.5","13.2","2.817","0.059","5.5","0.000"
"³«º»L","2025.02.11","4.0","7.4","429","14.4","1.9","4.4","4.0","2.849","0.030","3.4","108.110"
"³«º»M","2025.02.11","4.4","7.4","763","14.0","2.4","5.9","5.6","2.638","0.030","4.2","79.857"
"³«º»N","2025.02.11","3.1","8.1","1079","15.4","6.3","9.3","14.0","3.426","0.054","7.0","35.625"
"³«º»L","2025.02.17","4.0","7.7","415","15.1","2.8","5.4","4.8","3.061","0.026","3.1","102.110"
"³«º»M","2025.02.17","4.7","7.7","623","14.7","2.6","5.9","5.6","2.834","0.026","3.3","41.716"
"³«º»N","2025.02.17","5.1","8.6","844","14.5","7.3","11.0","19.2","2.990","0.048","7.9","9.537"
"³«º»L","2025.02.25","4.4","7.9","400","15.3","2.4","5.1","5.2","2.965","0.035","4.2","141.490"
"³«º»M","2025.02.25","4.9","7.7","586","14.6","2.3","5.2","4.8","2.813","0.031","4.3","105.128"
"³«º»N","2025.02.25","4.4","8.6","980","14.9","7.2","10.0","17.2","3.239","0.065","7.8","9.537"
"³«º»L","2025.03.04","5.5","7.8","402","14.0","2.9","5.8","7.6","3.137","0.034","3.7","121.540"
"³«º»M","2025.03.04","6.4","7.8","604","13.6","2.8","6.1","10.4","2.856","0.038","3.9","152.572"
"³«º»N","2025.03.04","6.6","8.1","1400","12.2","5.5","10.1","22.5","3.432","0.079","6.3","15.590"
"³«º»L","2025.03.11","9.2","8.5","381","14.9","2.3","5.8","5.6","2.810","0.034","4.4","146.180"
"³«º»M","2025.03.11","9.7","8.6","482","14.4","3.1","6.5","7.6","2.848","0.035","5.9","168.206"
"³«º»N","2025.03.11","10.5","8.9","1064","14.6","7.0","10.9","16.0","3.094","0.063","9.7","0.000"
"³«º»L","2025.03.17","9.5","8.4","395","13.3","2.0","6.3","6.0","3.140","0.033","4.3","77.310"
"³«º»M","2025.03.17","9.8","8.7","482","13.7","2.3","6.6","9.2","2.856","0.039","5.0","77.995"
"³«º»N","2025.03.17","10.6","8.3","873","11.9","4.0","8.8","16.4","3.389","0.083","7.1","14.213"
