연도,행정구역,19세,20~24세,25~29세,30~34세,35~39세
2022,광주광역시,17143,100201,102787,86080,89444
2022,대전광역시,19734,108284,110202,93926,89837
2022,울산광역시,8458,54844,68565,66420,70859
2022,세종특별자치시,4558,20585,20732,26610,32459
2022,경기도,121066,739484,908543,891285,920405
2022,강원특별자치도,14820,87750,84742,76667,78664
2022,충청북도,15625,91288,99612,89919,93175
2022,충청남도,23300,121223,117652,117586,129570
2022,전북특별자치도,17809,103959,96505,82598,89067
2022,전라남도,12569,80610,87050,76797,86917
2022,경상북도,23307,133295,130916,124449,137252
2022,경상남도,25018,155461,168933,164963,189669
2022,제주특별자치도,5343,32757,38912,36160,40779
2023,전국,463895,2715480,3310331,3273995,3076302
2023,서울특별시,84916,542883,775262,743207,619843
2023,부산광역시,29200,174252,200255,196433,181660
2023,대구광역시,22331,131101,146714,142239,131156
2023,인천광역시,25335,148494,197336,206667,190817
2023,광주광역시,15676,93074,100403,88623,83471
2023,대전광역시,19230,103006,108881,96885,86500
2023,울산광역시,8051,49978,66163,67487,66381
2023,세종특별자치시,4319,20280,20100,26435,31107
2023,경기도,119452,695712,890257,920556,888943
2023,강원특별자치도,14769,82793,83323,78642,75102
2023,충청북도,16642,91106,98351,93858,89684
2023,충청남도,23639,114831,116044,120101,124502
2023,전북특별자치도,17096,97500,95258,84470,83756
2023,전라남도,12003,74844,86258,79953,81646
2023,경상북도,22756,123412,126311,124782,128072
2023,경상남도,23525,141817,162056,166018,175741
2023,제주특별자치도,4955,30397,37359,37639,37921
2024,전국,425636,2579629,3214861,3353696,3028361
2024,서울특별시,77799,522594,752512,760553,613572
2024,부산광역시,26785,164242,190546,197837,177548
2024,대구광역시,20255,123013,140254,144552,130333
2024,인천광역시,23383,142028,191697,214179,192374
2024,광주광역시,14346,87321,96776,91032,79743
2024,대전광역시,17871,98569,106488,100001,85607
2024,울산광역시,7478,47095,64459,68312,64619
2024,세종특별자치시,4103,20033,19442,26670,30234
2024,경기도,111011,663835,871011,948550,882511
2024,강원특별자치도,13490,77733,80537,80115,73641
2024,충청북도,15263,85773,95031,97332,87534
2024,충청남도,21621,111087,115597,122834,122517
2024,전북특별자치도,15725,90731,91785,86910,80797
2024,전라남도,10266,69515,84588,82877,78696
2024,경상북도,20579,115516,122422,125646,123466
2024,경상남도,21188,131838,156211,167753,168782
2024,제주특별자치도,4473,28706,35505,38543,36387
