연도,행정구역,통계방식변경,전체산업사업체수,전체산업종사자수,제조업종사자수
2024,서울특별시,1,1176066,5772456,237097
2024,부산광역시,1,402419,1563954,210397
2024,대구광역시,1,286841,1021246,159551
2024,인천광역시,1,328929,1271660,242091
2024,광주광역시,1,175238,673601,80250
2024,대전광역시,1,172209,706075,66618
2024,울산광역시,1,116775,568107,180998
2024,세종특별자치시,1,36117,172001,24037
2024,경기도,1,1604724,6269495,1360933
2024,강원특별자치도,1,214203,751263,62173
2024,충청북도,1,208190,861910,228821
2024,충청남도,1,287424,1121335,314597
2024,전북특별자치도,1,252411,817157,119854
2024,전라남도,1,253206,899604,128939
2024,경상북도,1,344568,1283224,317918
2024,경상남도,1,403774,1557690,412477
2024,제주특별자치도,1,100168,330702,12905
