연도,행정구역,상용월평균급여(원),상용월급여액(원),상용정액급여(원),상용초과급여(원),상용특별급여(원)
2019,제주특별자치도,2889103.0,2710704.0,2590625.0,120079.0,178399.0
2020,서울특별시,4177937.0,3745761.0,3588914.0,156846.0,432176.0
2020,부산광역시,3382497.0,3124238.0,2960706.0,163532.0,258259.0
2020,대구광역시,3148054.0,2939627.0,2754341.0,185286.0,208427.0
2020,인천광역시,3442684.0,3172498.0,2944863.0,227636.0,270186.0
2020,광주광역시,3272846.0,2989188.0,2807101.0,182086.0,283658.0
2020,대전광역시,3526414.0,3301865.0,3151149.0,150717.0,224549.0
2020,울산광역시,4165556.0,3438056.0,3047057.0,390999.0,727500.0
2020,세종특별자치시,3755869.0,3423078.0,3096090.0,326989.0,332791.0
2020,경기도,3791519.0,3467004.0,3235868.0,231136.0,324515.0
2020,강원특별자치도,3237625.0,3053154.0,2867460.0,185694.0,184471.0
2020,충청북도,3512114.0,3203545.0,2891741.0,311805.0,308569.0
2020,충청남도,3747802.0,3397234.0,3063857.0,333377.0,350568.0
2020,전북특별자치도,3326867.0,3028036.0,2764224.0,263812.0,298831.0
2020,전라남도,3660743.0,3252923.0,2989038.0,263885.0,407820.0
2020,경상북도,3703867.0,3318498.0,2983493.0,335005.0,385369.0
2020,경상남도,3537600.0,3260329.0,2961696.0,298633.0,277271.0
2020,제주특별자치도,2890236.0,2726806.0,2623615.0,103191.0,163430.0
2021,서울특별시,4451538.0,3904436.0,3733628.0,170808.0,547102.0
2021,부산광역시,3563487.0,3288414.0,3114169.0,174246.0,275073.0
2021,대구광역시,3313281.0,3094138.0,2880484.0,213654.0,219143.0
2021,인천광역시,3611547.0,3309353.0,3068634.0,240720.0,302194.0
2021,광주광역시,3458315.0,3141221.0,2934066.0,207155.0,317094.0
2021,대전광역시,3641586.0,3401031.0,3257260.0,143771.0,240555.0
2021,울산광역시,4330712.0,3515389.0,3113828.0,401561.0,815323.0
2021,세종특별자치시,3845965.0,3530820.0,3211675.0,319145.0,315145.0
2021,경기도,3938130.0,3611344.0,3369741.0,241603.0,326786.0
2021,강원특별자치도,3353549.0,3166772.0,2968551.0,198221.0,186777.0
2021,충청북도,3565888.0,3313149.0,2999919.0,313230.0,252739.0
2021,충청남도,4051811.0,3564920.0,3216396.0,348524.0,486891.0
2021,전북특별자치도,3372498.0,3082279.0,2810742.0,271537.0,290219.0
2021,전라남도,3803956.0,3352080.0,3069611.0,282469.0,451876.0
2021,경상북도,3882801.0,3452111.0,3103287.0,348823.0,430690.0
2021,경상남도,3744367.0,3399502.0,3094755.0,304748.0,344865.0
2021,제주특별자치도,3073063.0,2906566.0,2790086.0,116480.0,166497.0
2022,서울특별시,4555258.0,4082853.0,3902156.0,180697.0,472405.0
2022,부산광역시,3638757.0,3404468.0,3220150.0,184319.0,234289.0
2022,대구광역시,3426293.0,3202101.0,2975417.0,226684.0,224192.0
2022,인천광역시,3698625.0,3418862.0,3166608.0,252254.0,279763.0
