,연도,행정구역,상용월평균급여(원),상용월급여액(원),상용정액급여(원),상용초과급여(원),상용특별급여(원)
41,2017,울산광역시,4241425,3169771,2724062,445709,1071654
42,2017,경기도,3433070,3102230,2869392,232838,330840
43,2017,강원특별자치도,3106416,2804556,2600579,203978,301860
44,2017,충청북도,3304307,2888651,2499423,389228,415656
45,2017,충청남도,3594988,3139647,2733986,405661,455341
46,2017,전북특별자치도,3195239,2750571,2442906,307665,444668
47,2017,전라남도,3549854,2996396,2690185,306212,553458
48,2017,경상북도,3406713,2986091,2624005,362086,420622
49,2017,경상남도,3320841,2943459,2610037,333422,377382
50,2017,제주특별자치도,2649364,2456978,2329278,127700,192386
51,2018,전국,3633662,3259281,3030795,228486,374381
52,2018,서울특별시,4065263,3563940,3439652,124288,501323
53,2018,부산광역시,3221296,2962069,2782542,179527,259227
54,2018,대구광역시,2962738,2766527,2521683,244844,196211
55,2018,인천광역시,3312814,3013149,2780194,232955,299665
56,2018,광주광역시,3177872,2803147,2580884,222263,374725
57,2018,대전광역시,3519385,3189820,3027910,161910,329565
58,2018,울산광역시,4312634,3279013,2848358,430656,1033621
59,2018,경기도,3550712,3236256,3005107,231149,314456
60,2018,강원특별자치도,3207049,2931838,2710643,221195,275211
61,2018,충청북도,3426880,3035381,2656732,378649,391499
62,2018,충청남도,3679557,3246198,2843373,402826,433359
63,2018,전북특별자치도,3293434,2901251,2586429,314821,392183
64,2018,전라남도,3696074,3145992,2809543,336449,550082
65,2018,경상북도,3520898,3151486,2778589,372897,369412
66,2018,경상남도,3396737,3054555,2737276,317279,342182
67,2018,제주특별자치도,2767497,2584690,2460850,123840,182807
68,2019,전국,3779620,3405769,3164630,241140,373851
69,2019,서울특별시,4226102,3704202,3554867,149335,521900
70,2019,부산광역시,3315194,3050186,2868469,181717,265008
71,2019,대구광역시,3093806,2908433,2679240,229192,185373
72,2019,인천광역시,3390920,3121843,2896765,225078,269077
73,2019,광주광역시,3278027,2942622,2717458,225164,335405
74,2019,대전광역시,3601728,3287005,3130710,156296,314723
75,2019,울산광역시,4353358,3377777,2965650,412127,975581
76,2019,경기도,3698529,3384598,3147200,237398,313931
77,2019,강원특별자치도,3292836,3049958,2829582,220376,242878
78,2019,충청북도,3482279,3142720,2791914,350806,339559
79,2019,충청남도,3778330,3372295,2970746,401549,406035
80,2019,전북특별자치도,3381091,2992628,2683884,308744,388463
81,2019,전라남도,3731288,3235215,2927554,307661,496073
82,2019,경상북도,3699749,3262945,2919379,343566,436804
83,2019,경상남도,3580582,3190336,2864073,326263,390246
84,2019,제주특별자치도,2889103,2710704,2590625,120079,178399
0,2020,전국,3788332,3447287,3214424,232863,341045
1,2020,서울특별시,4177937,3745761,3588914,156846,432176
2,2020,부산광역시,3382497,3124238,2960706,163532,258259
3,2020,대구광역시,3148054,2939627,2754341,185286,208427
4,2020,인천광역시,3442684,3172498,2944863,227636,270186
5,2020,광주광역시,3272846,2989188,2807101,182086,283658
6,2020,대전광역시,3526414,3301865,3151149,150717,224549
7,2020,울산광역시,4165556,3438056,3047057,390999,727500
