,연도,행정구역,상용월급여액(원),상용정액급여(원),상용초과급여(원),상용특별급여(원)
4,2023,인천,3546307,3284522,261785,252266
5,2023,광주,3373343,3156062,217281,357798
6,2023,대전,3648549,3491658,156891,238394
7,2023,울산,3896517,3391727,504790,820255
8,2023,세종,3647865,3337418,310447,448741
9,2023,경기,3880952,3644062,236890,277600
10,2023,강원,3373947,3145826,228122,181133
11,2023,충북,3561921,3221767,340154,274124
12,2023,충남,3812337,3432243,380095,216004
13,2023,전북,3271052,3004846,266205,324611
14,2023,전남,3566647,3269052,297595,390265
15,2023,경북,3651423,3303136,348288,308106
16,2023,경남,3642165,3279798,362367,298448
17,2023,제주,3153209,3013388,139821,208895
18,2024,전국,3988724,3702953,285772,407065
19,2024,서울,4430038,4223874,206164,505528
20,2024,부산,3679216,3515496,163720,226739
21,2024,대구,3447916,3192813,255103,292651
22,2024,인천,3726835,3451685,275150,255094
23,2024,광주,3508824,3283512,225311,251641
24,2024,대전,3758386,3577011,181374,225523
25,2024,울산,4073209,3525274,547935,763810
26,2024,세종,3833294,3495015,338279,498640
27,2024,경기,4044522,3786431,258091,357005
28,2024,강원,3433402,3211660,221742,226119
29,2024,충북,3669971,3313895,356075,286050
30,2024,충남,3967362,3556964,410397,712795
31,2024,전북,3386856,3119265,267591,349739
32,2024,전남,3658375,3370372,288004,376495
33,2024,경북,3793757,3424033,369724,382004
34,2024,경남,3784975,3414218,370757,328090
35,2024,제주,3268276,3114814,153462,232858
36,2025,전국,4094615,3801279,293336,425738
37,2025,서울,4551791,4343519,208272,583766
38,2025,부산,3760214,3585298,174915,291408
39,2025,대구,3554390,3302388,252003,342292
40,2025,인천,3892250,3607131,285119,336629
41,2025,광주,3529174,3289252,239922,274614
42,2025,대전,3873396,3682561,190835,237212
43,2025,울산,4179396,3646138,533258,865265
44,2025,세종,3897193,3578312,318882,515855
45,2025,경기,4199778,3921597,278181,367525
46,2025,강원,3558553,3331825,226728,232580
47,2025,충북,3757109,3408935,348175,311073
48,2025,충남,4109260,3689602,419658,702970
49,2025,전북,3475789,3202598,273191,339361
50,2025,전남,3791086,3484960,306126,459410
51,2025,경북,3920655,3531001,389654,431569
52,2025,경남,3906168,3518751,387417,354733
53,2025,제주,3289535,3148603,140932,286156
